Postal Code;Name;Population;Population Density;Merger
83070;Reitano;829;59;083070
83071;Roccafiorita;228;195;083071
83072;Roccalumera;4105;461;083072
83073;Roccavaldina;1149;161;083073
83074;Roccella Valdemone;711;17;083074
83075;Rodì Milici;2130;58;083075
85021;Vallelunga Pratameno;3641;92;085021
84005;Burgio;2780;66;084005
87003;Aci Catena;28749;3369;087003
87004;Acireale;51456;1273;087004
83041;Lipari;11642;130;083041
83042;Longi;1562;37;083042
88010;Santa Croce Camerina;9452;230;088010
88011;Scicli;25922;187;088011
88012;Vittoria;61006;334;088012
89001;Augusta;36169;325;089001
89002;Avola;31328;420;089002
89003;Buccheri;2133;37;089003
89004;Buscemi;1128;22;089004
89005;Canicattini Bagni;7186;477;089005
89006;Carlentini;17958;113;089006
89007;Cassaro;813;41;089007
89008;Ferla;2600;104;089008
89009;Floridia;22685;857;089009
89010;Francofonte;12923;174;089010
89011;Lentini;24484;113;089011
89012;Melilli;13076;96;089012
89013;Noto;23704;43;089013
89014;Pachino;22068;433;089014
82028;Cerda;5391;123;082028
82029;Chiusa Sclafani;2957;51;082029
82030;Ciminna;3845;68;082030
82031;Cinisi;12031;363;082031
82032;Collesano;4095;38;082032
82033;Contessa Entellina;1865;14;082033
82034;Corleone;11286;49;082034
82035;Ficarazzi;11484;3254;082035
82036;Gangi;7063;55;082036
82037;Geraci Siculo;1925;17;082037
82038;Giardinello;2258;175;082038
82039;Giuliana;2032;84;082039
82040;Godrano;1153;30;082040
82041;Gratteri;1019;27;082041
82042;Isnello;1598;31;082042
82055;Petralia Soprana;3443;61;082055
82056;Petralia Sottana;2975;17;082056
82057;Piana degli Albanesi;6010;93;082057
82058;Polizzi Generosa;3607;27;082058
82059;Pollina;2998;60;082059
82060;Prizzi;5055;53;082060
82061;Roccamena;1562;46;082061
82062;Roccapalumba;2634;83;082062
82063;San Cipirello;5478;263;082063
82064;San Giuseppe Jato;8511;286;082064
82065;San Mauro Castelverde;1847;16;082065
82066;Santa Cristina Gela;925;24;082066
82067;Santa Flavia;10751;736;082067
82068;Sciara;2787;89;082068
82069;Sclafani Bagni;450;3;082069
82070;Termini Imerese;26201;342;082070
82071;Terrasini;11985;604;082071
82072;Torretta;4141;162;082072
82073;Trabia;10360;469;082073
82074;Trappeto;3211;766;082074
81021;Trapani;69241;254;081021
81022;Valderice;11951;226;081022
81023;Vita;2139;235;081023
81024;Petrosino;7760;171;081024
82001;Alia;3806;83;082001
82002;Alimena;2152;36;082002
82003;Aliminusa;1291;94;082003
82004;Altavilla Milicia;7429;312;082004
82005;Altofonte;10266;290;082005
82006;Bagheria;54257;1819;082006
82007;Balestrate;6413;997;082007
82008;Baucina;2014;82;082008
82009;Belmonte Mezzagno;11149;381;082009
82010;Bisacquino;4829;74;082010
82011;Bolognetta;3932;142;082011
82012;Bompietro;1474;35;082012
82013;Borgetto;7021;270;082013
82014;Caccamo;8295;44;082014
82015;Caltavuturo;4171;43;082015
82016;Campofelice di Fitalia;548;15;082016
82017;Campofelice di Roccella;6918;477;082017
82018;Campofiorito;1332;61;082018
82019;Camporeale;3448;89;082019
83043;Malfa;988;113;083043
83044;Malvagna;794;118;083044
83045;Mandanici;629;53;083045
83046;Mazzarrà  Sant'Andrea;1567;234;083046
83047;Merì;2396;1295;083047
83048;Messina;243262;1138;083048
83049;Milazzo;32146;1301;083049
83050;Militello Rosmarino;1334;45;083050
83051;Mirto;1000;108;083051
83052;Mistretta;5014;39;083052
83053;Moio Alcantara;756;88;083053
83054;Monforte San Giorgio;2880;89;083054
83055;Mongiuffi Melia;653;27;083055
83056;Montagnareale;1631;100;083056
83057;Montalbano Elicona;2420;36;083057
83058;Motta Camastra;882;35;083058
83059;Motta d'Affermo;828;57;083059
83060;Naso;4015;109;083060
83061;Nizza di Sicilia;3723;278;083061
83062;Novara di Sicilia;1413;29;083062
83063;Oliveri;2157;207;083063
83064;Pace del Mela;6388;525;083064
83065;Pagliara;1230;85;083065
83066;Patti;13325;266;083066
83067;Pettineo;1433;47;083067
83068;Piraino;3964;234;083068
83069;Raccuja;1139;45;083069
82043;Isola delle Femmine;7100;1991;082043
